depth	min95%	max95%	best	accrate
352	2019	2623	2257	26.77
353	2047	2654	2284	27.18
354	2075	2686	2311	27.59
355	2103	2718	2339	28.01
356	2133	2750	2367	28.44
357	2162	2782	2395	28.86
358	2190	2815	2424	29.3
359	2220	2848	2453	29.74
360	2248	2882	2483	30.18
361	2275	2916	2513	30.63
362	2304	2950	2544	31.08
363	2335	2984	2575	31.54
364	2366	3019	2607	32.01
365	2399	3054	2639	32.48
366	2430	3089	2671	32.94
367	2462	3125	2704	33.4
368	2496	3161	2737	33.85
369	2530	3197	2771	34.3
370	2563	3234	2806	34.74
371	2598	3270	2840	35.17
372	2634	3308	2876	35.6
373	2671	3345	2911	36.03
374	2709	3383	2947	36.45
375	2743	3421	2984	36.86
376	2779	3459	3020	37.27
377	2815	3498	3058	37.67
378	2850	3537	3095	38.07
379	2886	3576	3133	38.46
380	2923	3616	3172	38.85
381	2964	3656	3211	39.23
382	3004	3697	3250	39.6
383	3045	3737	3290	39.97
384	3086	3776	3330	40.33
385	3124	3817	3370	40.69
386	3167	3858	3411	41.04
387	3208	3899	3452	41.39
388	3250	3941	3493	41.73
389	3292	3983	3535	42.07
390	3331	4025	3577	42.4
391	3371	4068	3619	42.72
392	3410	4111	3662	43.04
393	3450	4154	3705	43.36
394	3490	4197	3748	43.66
395	3532	4241	3792	43.97
396	3573	4284	3836	44.26
397	3614	4328	3880	44.55
398	3657	4372	3925	44.84
399	3698	4417	3970	45.12
400	3740	4461	4015	45.39
401	3783	4505	4060	45.66
402	3828	4550	4106	45.93
403	3870	4594	4152	46.18
404	3913	4639	4198	46.44
405	3956	4685	4244	46.68
406	3999	4730	4291	46.92
407	4043	4776	4338	47.16
408	4090	4822	4385	47.39
409	4134	4868	4433	47.61
410	4179	4914	4480	47.83
411	4225	4960	4528	48.04
412	4271	5007	4576	48.25
413	4317	5053	4624	48.45
414	4364	5100	4673	48.65
415	4410	5147	4721	48.84
416	4457	5194	4770	49.03
417	4505	5241	4819	49.21
418	4552	5288	4868	49.38
419	4600	5337	4918	49.55
420	4648	5385	4967	49.71
421	4696	5434	5017	49.87
422	4744	5483	5067	50.02
423	4793	5531	5117	50.17
424	4842	5579	5167	50.31
425	4890	5627	5217	50.45
426	4940	5675	5268	50.58
427	4989	5723	5318	50.7
428	5038	5770	5369	50.82
429	5088	5817	5420	50.93
430	5137	5864	5471	51.04
431	5187	5910	5522	51.14
432	5235	5957	5573	51.24
433	5285	6004	5624	51.33
434	5336	6051	5676	51.41
435	5386	6099	5727	51.49
436	5437	6149	5779	51.57
437	5488	6199	5830	51.63
438	5538	6247	5882	51.7
439	5589	6294	5933	51.76
440	5640	6341	5985	51.81
441	5691	6389	6037	51.85
442	5742	6436	6089	51.89
443	5792	6483	6141	51.93
444	5842	6531	6193	51.96
445	5892	6579	6245	51.98
446	5942	6628	6297	52
447	5993	6676	6349	52.01
448	6043	6725	6401	52.02
449	6094	6775	6453	52.02
450	6144	6824	6505	52.02
451	6195	6874	6557	52.01
452	6246	6923	6609	51.99
453	6297	6973	6661	51.97
454	6349	7022	6713	51.95
455	6400	7069	6765	51.92
456	6451	7119	6817	51.88
457	6503	7166	6868	51.84
458	6554	7213	6920	51.79
459	6605	7262	6972	51.73
460	6657	7311	7024	51.67
461	6709	7362	7075	51.61
462	6760	7414	7127	51.54
463	6812	7461	7179	51.46
464	6864	7508	7230	51.38
465	6915	7558	7281	51.29
466	6967	7605	7333	51.2
467	7019	7652	7384	51.1
468	7071	7701	7435	51
469	7122	7750	7486	50.89
470	7173	7799	7537	50.77
471	7225	7848	7588	50.65
472	7276	7896	7638	50.53
473	7327	7944	7689	50.39
474	7378	7991	7739	50.26
475	7430	8038	7790	50.11
476	7481	8085	7840	49.96
477	7532	8132	7890	49.81
478	7583	8178	7939	49.65
479	7635	8227	7989	49.49
480	7686	8274	8039	49.31
481	7737	8320	8088	49.14
482	7788	8370	8137	48.96
483	7838	8418	8186	48.77
484	7887	8467	8235	48.58
485	7937	8515	8283	48.38
486	7987	8562	8332	48.18
487	8036	8609	8380	47.99
488	8086	8654	8428	47.79
489	8135	8700	8476	47.6
490	8185	8747	8523	47.41
491	8236	8792	8571	47.22
492	8288	8837	8618	47.04
493	8339	8879	8665	46.85
494	8390	8925	8712	46.67
495	8441	8971	8758	46.49
496	8491	9016	8805	46.31
497	8541	9061	8851	46.13
498	8591	9106	8897	45.95
499	8641	9150	8943	45.78
500	8691	9198	8989	45.61
501	8741	9241	9035	45.44
502	8790	9285	9080	45.27
503	8839	9329	9125	45.1
504	8888	9373	9171	44.94
505	8938	9417	9215	44.77
506	8988	9461	9260	44.61
507	9036	9505	9305	44.45
508	9085	9549	9349	44.29
509	9135	9593	9394	44.13
510	9185	9637	9438	43.98
511	9233	9680	9482	43.83
512	9280	9723	9526	43.68
513	9327	9764	9569	43.53
514	9373	9804	9613	43.38
515	9420	9844	9656	43.23
516	9466	9886	9699	43.09
517	9513	9931	9742	42.94
518	9559	9975	9785	42.8
519	9605	10019	9828	42.66
520	9651	10062	9871	42.53
521	9697	10105	9913	42.39
522	9742	10147	9956	42.26
523	9788	10189	9998	42.13
524	9834	10232	10040	42
525	9881	10274	10082	41.87
526	9926	10314	10124	41.74
527	9971	10359	10166	41.61
528	10016	10402	10207	41.49
529	10061	10445	10249	41.37
530	10105	10487	10290	41.25
531	10149	10529	10331	41.13
532	10193	10572	10373	41.01
533	10237	10614	10414	40.9
534	10280	10655	10455	40.79
535	10324	10697	10495	40.68
536	10367	10739	10536	40.57
537	10412	10781	10577	40.46
538	10454	10823	10617	40.36
539	10496	10864	10657	40.26
540	10539	10907	10698	40.16
541	10581	10951	10738	40.07
542	10624	10994	10778	39.98
543	10666	11035	10818	39.89
544	10709	11076	10858	39.81
545	10752	11117	10898	39.74
546	10794	11158	10937	39.66
547	10836	11198	10977	39.59
548	10877	11240	11017	39.53
549	10917	11280	11056	39.46
550	10957	11320	11096	39.41
551	10999	11361	11135	39.35
552	11039	11402	11174	39.3
553	11079	11442	11214	39.25
554	11121	11483	11253	39.21
555	11162	11523	11292	39.17
556	11200	11564	11331	39.14
557	11239	11605	11370	39.1
558	11279	11646	11409	39.08
559	11319	11686	11449	39.05
560	11357	11727	11488	39.03
561	11396	11766	11527	39
562	11435	11806	11566	38.98
563	11473	11846	11605	38.96
564	11511	11885	11644	38.94
565	11549	11925	11682	38.91
566	11587	11965	11721	38.89
567	11625	12003	11760	38.87
568	11663	12043	11799	38.85
569	11702	12083	11838	38.82
570	11740	12123	11877	38.8
571	11779	12162	11916	38.78
572	11818	12201	11954	38.76
573	11857	12241	11993	38.74
574	11895	12280	12032	38.72
575	11934	12319	12071	38.7
576	11972	12357	12109	38.68
577	12010	12395	12148	38.66
578	12048	12433	12187	38.64
579	12087	12472	12225	38.62
580	12125	12510	12264	38.6
581	12164	12549	12302	38.58
582	12202	12587	12341	38.56
583	12239	12626	12380	38.54
584	12277	12664	12418	38.52
585	12315	12703	12457	38.5
586	12353	12741	12495	38.48
587	12391	12778	12534	38.47
588	12429	12817	12572	38.45
589	12467	12855	12611	38.43
590	12505	12893	12649	38.41
591	12542	12932	12687	38.39
592	12580	12970	12726	38.38
593	12618	13008	12764	38.36
594	12657	13045	12803	38.34
595	12695	13083	12841	38.33
596	12733	13121	12879	38.31
597	12772	13160	12918	38.3
598	12810	13199	12956	38.28
599	12848	13237	12994	38.26
600	12886	13274	13032	38.25
601	12924	13311	13071	38.23
602	12961	13347	13109	38.22
603	12999	13385	13147	38.2
604	13037	13423	13185	38.19
605	13075	13460	13223	38.18
606	13112	13497	13262	38.16
607	13151	13534	13300	38.15
608	13189	13572	13338	38.13
609	13226	13610	13376	38.12
610	13264	13648	13414	38.11
611	13302	13685	13452	38.09
612	13340	13723	13490	38.08
613	13378	13761	13528	38.07
614	13416	13797	13567	38.06
615	13454	13834	13605	38.04
616	13493	13870	13643	38.03
617	13531	13904	13681	38.02
618	13569	13940	13719	38.01
619	13608	13977	13757	38
620	13646	14013	13795	37.99
621	13684	14048	13833	37.97
622	13722	14087	13871	37.96
623	13760	14124	13909	37.95
624	13798	14160	13947	37.94
625	13836	14196	13985	37.93
626	13874	14232	14022	37.92
627	13912	14268	14060	37.91
628	13949	14304	14098	37.9
629	13987	14341	14136	37.9
630	14025	14377	14174	37.89
631	14062	14413	14212	37.88
632	14100	14451	14250	37.87
633	14138	14488	14288	37.86
634	14176	14525	14326	37.85
635	14214	14562	14363	37.84
636	14252	14600	14401	37.84
637	14290	14636	14439	37.83
638	14328	14674	14477	37.82
639	14366	14712	14515	37.81
640	14403	14748	14553	37.81
641	14441	14785	14590	37.8
642	14478	14822	14628	37.79
643	14516	14858	14666	37.79
644	14553	14894	14704	37.78
645	14591	14933	14742	37.78
646	14628	14970	14779	37.77
647	14666	15007	14817	37.76
648	14704	15046	14855	37.76
649	14742	15085	14893	37.75
650	14780	15123	14930	37.75
651	14818	15162	14968	37.75
652	14855	15201	15006	37.74
653	14893	15240	15044	37.74
654	14931	15278	15081	37.73
655	14969	15317	15119	37.73
656	15006	15355	15157	37.73
657	15044	15395	15195	37.72
658	15082	15432	15232	37.72
659	15120	15469	15270	37.72
660	15157	15508	15308	37.71
661	15194	15545	15345	37.71
662	15232	15583	15383	37.71
663	15270	15623	15421	37.71
664	15308	15661	15459	37.7
665	15345	15700	15496	37.7
666	15382	15738	15534	37.7
667	15419	15776	15572	37.7
668	15456	15813	15609	37.7
669	15493	15849	15647	37.7
670	15529	15886	15685	37.7
671	15567	15923	15722	37.7
672	15605	15961	15760	37.7
673	15642	15998	15798	NA
