depth	min95%	max95%	best	accrate
398	2343	2527	2443	7.84
399	2352	2534	2451	7.84
400	2361	2541	2459	7.84
401	2370	2549	2466	7.84
402	2379	2556	2474	7.84
403	2389	2563	2482	7.84
404	2398	2570	2490	7.84
405	2407	2577	2498	7.84
406	2416	2584	2506	7.84
407	2425	2591	2513	7.84
408	2434	2598	2521	7.84
409	2443	2606	2529	7.84
410	2452	2613	2537	7.84
411	2461	2620	2545	7.84
412	2470	2628	2553	7.84
413	2480	2635	2560	7.84
414	2490	2643	2568	7.84
415	2499	2651	2576	7.84
416	2507	2658	2584	7.84
417	2516	2665	2592	7.84
418	2525	2672	2600	7.84
419	2534	2681	2608	7.84
420	2544	2690	2615	7.84
421	2553	2700	2623	7.84
422	2563	2710	2631	7.84
423	2571	2720	2639	7.84
424	2580	2730	2647	7.84
425	2588	2740	2655	7.84
426	2597	2750	2662	7.84
427	2605	2760	2670	7.84
428	2613	2769	2678	7.84
429	2622	2779	2686	7.84
430	2630	2789	2694	7.84
431	2638	2799	2702	7.84
432	2647	2809	2709	7.84
433	2655	2819	2717	7.84
434	2664	2828	2725	7.84
435	2673	2836	2733	7.84
436	2681	2844	2741	7.84
437	2690	2852	2749	7.84
438	2698	2860	2756	7.84
439	2706	2869	2764	7.84
440	2714	2879	2772	7.84
441	2722	2887	2780	7.84
442	2730	2895	2788	7.84
443	2738	2905	2796	7.84
444	2745	2913	2804	7.84
445	2752	2922	2811	148.4
446	2900	3069	2960	148.4
447	3049	3213	3108	148.4
448	3196	3358	3257	148.4
449	3343	3505	3405	148.4
450	3489	3653	3553	148.4
451	3635	3798	3702	148.4
452	3782	3945	3850	148.4
453	3927	4090	3999	148.4
454	4073	4236	4147	148.4
455	4219	4385	4295	148.4
456	4365	4534	4444	148.4
457	4511	4686	4592	148.4
458	4657	4837	4741	148.4
459	4801	4989	4889	148.4
460	4944	5141	5037	148.4
461	5089	5293	5186	148.4
462	5234	5447	5334	148.4
463	5380	5600	5483	148.4
464	5524	5754	5631	148.4
465	5669	5908	5779	148.4
466	5814	6059	5928	148.4
467	5958	6211	6076	148.4
468	6103	6364	6225	148.4
469	6247	6517	6373	148.4
470	6389	6671	6521	148.4
471	6535	6823	6670	148.4
472	6678	6977	6818	148.4
473	6823	7132	6967	148.4
474	6967	7285	7115	148.4
475	7112	7439	7263	148.4
476	7257	7593	7412	148.4
477	7400	7747	7560	148.4
478	7544	7901	7709	148.4
479	7688	8055	7857	148.4
480	7831	8208	8005	148.4
481	7976	8362	8154	148.4
482	8119	8516	8302	148.4
483	8263	8670	8451	148.4
484	8407	8824	8599	148.4
485	8550	8977	8747	37.65
486	8593	9010	8785	37.65
487	8633	9045	8823	37.65
488	8673	9078	8860	37.65
489	8713	9112	8898	37.65
490	8753	9148	8936	37.65
491	8793	9180	8973	37.65
492	8833	9214	9011	37.65
493	8874	9250	9049	37.65
494	8915	9286	9086	37.65
495	8956	9322	9124	37.65
496	8997	9355	9162	37.65
497	9038	9390	9199	37.65
498	9078	9429	9237	37.65
499	9117	9464	9275	37.65
500	9156	9502	9312	37.65
501	9193	9540	9350	37.65
502	9231	9582	9388	37.65
503	9271	9617	9425	37.65
504	9309	9659	9463	37.65
505	9347	9700	9500	37.65
506	9386	9743	9538	37.65
507	9424	9783	9576	37.65
508	9463	9825	9613	37.65
509	9502	9865	9651	37.65
510	9541	9905	9689	37.65
511	9578	9945	9726	37.65
512	9617	9984	9764	37.65
513	9654	10025	9802	37.65
514	9692	10065	9839	37.65
515	9729	10107	9877	37.65
516	9765	10147	9915	37.65
517	9802	10189	9952	37.65
518	9838	10231	9990	37.65
519	9875	10273	10028	37.65
520	9911	10315	10065	37.65
521	9948	10357	10103	37.65
522	9983	10398	10141	37.65
523	10020	10440	10178	37.65
524	10058	10482	10216	37.65
525	10095	10523	10253	37.65
526	10131	10564	10291	37.65
527	10168	10603	10329	37.65
528	10204	10648	10366	37.65
529	10239	10692	10404	37.65
530	10277	10736	10442	37.65
531	10313	10779	10479	37.65
532	10348	10822	10517	37.65
533	10383	10868	10555	37.65
534	10415	10913	10592	37.65
535	10450	10956	10630	37.65
536	10485	11000	10668	37.65
537	10520	11045	10705	27.64
538	10556	11056	10733	27.64
539	10590	11067	10761	27.64
540	10624	11079	10788	27.64
541	10659	11092	10816	27.64
542	10692	11105	10843	27.64
543	10723	11120	10871	27.64
544	10756	11134	10899	27.64
545	10788	11150	10926	27.64
546	10821	11170	10954	27.64
547	10853	11188	10982	27.64
548	10883	11206	11009	27.64
549	10915	11226	11037	27.64
550	10942	11253	11065	27.64
551	10974	11282	11092	27.64
552	11003	11318	11120	27.64
553	11034	11358	11147	27.64
554	11062	11397	11175	27.64
555	11091	11436	11203	27.64
556	11119	11478	11230	27.64
557	11145	11512	11258	27.64
558	11169	11551	11286	27.64
559	11193	11592	11313	39.13
560	11233	11629	11352	39.13
561	11273	11665	11392	39.13
562	11312	11703	11431	39.13
563	11352	11740	11470	39.13
564	11390	11777	11509	39.13
565	11430	11813	11548	39.13
566	11470	11849	11587	39.13
567	11509	11886	11626	39.13
568	11549	11922	11665	39.13
569	11589	11960	11705	39.13
570	11629	11996	11744	39.13
571	11669	12033	11783	39.13
572	11708	12071	11822	39.13
573	11747	12109	11861	39.13
574	11786	12145	11900	39.13
575	11826	12182	11939	39.13
576	11865	12218	11979	39.13
577	11904	12255	12018	39.13
578	11944	12292	12057	39.13
579	11983	12327	12096	39.13
580	12022	12363	12135	39.13
581	12061	12400	12174	39.13
582	12100	12437	12213	39.13
583	12140	12476	12252	39.13
584	12178	12514	12292	39.13
585	12217	12551	12331	39.13
586	12256	12588	12370	39.13
587	12295	12626	12409	39.13
588	12334	12664	12448	39.13
589	12372	12701	12487	39.13
590	12411	12737	12526	39.13
591	12450	12773	12565	39.13
592	12489	12810	12605	39.13
593	12528	12846	12644	39.13
594	12566	12882	12683	39.13
595	12605	12918	12722	39.13
596	12644	12955	12761	39.13
597	12683	12991	12800	39.13
598	12721	13028	12839	39.13
599	12760	13065	12879	39.13
600	12799	13102	12918	39.13
601	12838	13139	12957	39.13
602	12877	13177	12996	39.13
603	12915	13214	13035	39.13
604	12954	13251	13074	39.13
605	12993	13287	13113	39.13
606	13032	13324	13152	39.13
607	13071	13361	13192	39.13
608	13110	13398	13231	39.13
609	13148	13435	13270	39.13
610	13187	13472	13309	39.13
611	13226	13510	13348	39.13
612	13265	13549	13387	39.13
613	13304	13587	13426	39.13
614	13343	13626	13465	39.13
615	13382	13664	13505	39.13
616	13421	13704	13544	39.13
617	13460	13744	13583	39.13
618	13498	13783	13622	39.13
619	13536	13822	13661	39.13
620	13575	13861	13700	39.13
621	13614	13900	13739	39.13
622	13653	13938	13779	39.13
623	13692	13978	13818	39.13
624	13730	14016	13857	39.13
625	13769	14053	13896	39.13
626	13808	14093	13935	39.13
627	13846	14132	13974	39.13
628	13885	14170	14013	39.13
629	13924	14208	14052	39.13
630	13963	14247	14092	39.13
631	14001	14287	14131	39.13
632	14040	14328	14170	39.13
633	14079	14366	14209	39.13
634	14118	14404	14248	39.13
635	14157	14442	14287	39.13
636	14194	14482	14326	39.13
637	14232	14522	14365	39.13
638	14270	14562	14405	39.13
639	14308	14601	14444	39.13
640	14345	14642	14483	39.13
641	14383	14680	14522	39.13
642	14421	14721	14561	39.13
643	14459	14761	14600	39.13
644	14497	14801	14639	39.13
645	14534	14841	14679	39.13
646	14572	14880	14718	39.13
647	14610	14921	14757	39.13
648	14648	14962	14796	39.13
649	14685	15003	14835	39.13
