depth	min95%	max95%	best	accrate
509	9507	9775	9625	35.7
510	9544	9812	9661	35.67
511	9581	9847	9697	35.64
512	9618	9884	9732	35.61
513	9654	9921	9768	35.58
514	9690	9960	9803	35.54
515	9727	10000	9839	35.51
516	9763	10040	9874	35.47
517	9798	10078	9910	35.44
518	9832	10112	9945	35.4
519	9867	10145	9981	35.36
520	9901	10179	10016	35.32
521	9936	10214	10051	35.28
522	9972	10253	10087	35.24
523	10008	10287	10122	35.19
524	10044	10324	10157	35.15
525	10079	10361	10192	35.1
526	10114	10400	10227	35.05
527	10149	10439	10262	35
528	10183	10476	10297	34.95
529	10219	10511	10332	34.9
530	10254	10543	10367	34.85
531	10290	10576	10402	34.8
532	10325	10613	10437	34.74
533	10360	10649	10472	34.69
534	10396	10686	10506	34.63
535	10430	10722	10541	34.57
536	10463	10758	10576	34.52
537	10497	10793	10610	34.46
538	10532	10828	10645	34.4
539	10567	10865	10679	34.36
540	10600	10900	10713	34.32
541	10633	10933	10748	34.29
542	10668	10966	10782	34.26
543	10703	11000	10816	34.25
544	10738	11033	10850	34.24
545	10773	11067	10885	34.23
546	10808	11100	10919	34.24
547	10841	11133	10953	34.25
548	10875	11171	10987	34.27
549	10909	11210	11022	34.29
550	10944	11244	11056	34.33
551	10978	11281	11090	34.37
552	11012	11323	11125	34.41
553	11047	11360	11159	34.47
554	11081	11394	11194	34.53
555	11115	11432	11228	34.6
556	11150	11471	11263	34.67
557	11184	11509	11297	34.76
558	11219	11547	11332	34.85
559	11252	11583	11367	34.94
560	11287	11621	11402	35.04
561	11322	11657	11437	35.14
562	11356	11694	11472	35.23
563	11391	11731	11507	35.32
564	11425	11770	11543	35.42
565	11459	11804	11578	35.51
566	11493	11837	11614	35.6
567	11529	11871	11649	35.69
568	11564	11908	11685	35.78
569	11599	11943	11721	35.87
570	11636	11981	11756	35.96
571	11672	12018	11792	36.04
572	11707	12053	11828	36.13
573	11742	12087	11865	36.22
574	11778	12122	11901	36.3
575	11815	12157	11937	36.38
576	11850	12195	11973	36.47
577	11885	12233	12010	36.55
578	11920	12270	12046	36.63
579	11956	12308	12083	36.71
580	11991	12346	12120	36.79
581	12027	12384	12157	36.87
582	12062	12421	12193	36.94
583	12097	12459	12230	37.02
584	12134	12495	12267	37.1
585	12169	12530	12305	37.17
586	12206	12567	12342	37.25
587	12242	12604	12379	37.32
588	12278	12642	12416	37.39
589	12315	12680	12454	37.46
590	12350	12719	12491	37.53
591	12386	12756	12529	37.6
592	12423	12793	12566	37.67
593	12459	12829	12604	37.74
594	12496	12866	12642	37.81
595	12533	12903	12680	37.88
596	12570	12942	12717	37.94
597	12607	12978	12755	38.01
598	12645	13015	12793	38.07
599	12682	13053	12831	38.13
600	12721	13092	12870	38.19
601	12760	13130	12908	38.26
602	12798	13170	12946	38.32
603	12836	13208	12984	38.38
604	12874	13246	13023	38.44
605	12913	13284	13061	38.49
606	12952	13321	13100	38.55
607	12991	13359	13138	38.61
608	13030	13395	13177	38.66
609	13067	13432	13215	38.72
610	13106	13469	13254	38.77
611	13146	13508	13293	38.82
612	13184	13547	13332	38.87
613	13222	13584	13371	38.93
